date,ticker,name,prev_close,open,high,high_time,low,low_time,close
2025-12-02,4777.T,ガーラ,223.0,270.0,303.0,09:15:00,226.0,10:50:00,227.0
2025-12-02,4579.T,ラクオリア創薬,1054.0,1281.0,1344.0,09:25:00,1002.0,10:30:00,1094.0
2025-10-08,4814.T,ネクストウェア,202.0,226.0,272.0,09:35:00,212.0,14:20:00,222.0
2025-10-23,4777.T,ガーラ,225.0,238.0,286.0,09:10:00,232.0,14:20:00,234.0
2025-11-28,7356.T,Ｒｅｔｔｙ,169.0,179.0,207.0,09:35:00,174.0,14:35:00,174.0
2025-11-12,8912.T,エリアクエスト,160.0,182.0,193.0,09:05:00,162.0,15:10:00,163.0
2025-11-19,4664.T,アール・エス・シー,905.0,950.0,1044.0,09:35:00,824.0,12:45:00,887.0
2025-10-06,1844.T,大盛工業,722.0,812.0,850.0,09:15:00,712.0,10:10:00,727.0
2025-10-14,265A.T,Hmcomm,1050.0,1140.0,1238.0,09:10:00,1045.0,13:05:00,1060.0
2025-11-17,2334.T,イオレ,446.0,520.0,523.0,09:20:00,440.0,10:05:00,449.0
2025-11-25,5255.T,モンスターラボ,200.0,208.0,228.0,09:05:00,195.0,14:50:00,197.0
2025-12-02,5721.T,エス・サイエンス,125.0,134.0,156.0,09:35:00,133.0,14:10:00,135.0
2025-11-07,9242.T,メディア総研,1957.0,2087.0,2254.0,09:10:00,1957.0,15:20:00,1957.0
2025-11-18,290A.T,Ｓｙｎｓｐｅｃｔｉｖｅ,1037.0,1162.0,1171.0,09:05:00,980.0,12:40:00,1021.0
2025-09-08,9610.T,ウィルソン・ラーニング　ワールドワイド,223.0,231.0,260.0,09:00:00,220.0,10:35:00,227.0
2025-12-03,6666.T,リバーエレテック,413.0,443.0,491.0,09:55:00,416.0,09:10:00,429.0
2025-11-05,3914.T,JIG-SAW,3470.0,3890.0,4000.0,09:25:00,3505.0,15:20:00,3505.0
2025-11-19,6993.T,大黒屋ホールディングス,60.0,66.0,67.0,09:05:00,58.0,10:50:00,59.0
2025-11-07,3077.T,ホリイフードサービス,517.0,677.0,686.0,09:45:00,583.0,14:45:00,605.0
2025-12-01,4420.T,イーソル,557.0,657.0,657.0,09:50:00,572.0,15:20:00,582.0
2025-11-17,9610.T,ウィルソン・ラーニング　ワールドワイド,152.0,165.0,176.0,09:05:00,150.0,09:10:00,156.0
2025-11-17,5255.T,モンスターラボ,171.0,181.0,219.0,09:50:00,165.0,09:05:00,195.0
2025-11-06,5994.T,ファインシンター,1586.0,1906.0,1986.0,09:35:00,1728.0,13:40:00,1769.0
2025-10-27,4082.T,第一稀元素化学工業,1094.0,1594.0,1644.0,09:50:00,1310.0,11:10:00,1470.0
2025-11-13,6993.T,大黒屋ホールディングス,43.0,44.0,48.0,09:30:00,42.0,13:20:00,43.0
2025-11-25,2438.T,アスカネット,335.0,351.0,407.0,09:45:00,351.0,09:00:00,365.0
2025-10-17,7018.T,内海造船,10540.0,10770.0,11540.0,10:05:00,10320.0,14:45:00,10350.0
2025-10-09,155A.T,情報戦略テクノロジー,993.0,1032.0,1135.0,09:25:00,974.0,14:35:00,1018.0
2025-09-04,3997.T,トレードワークス,332.0,367.0,379.0,09:10:00,339.5,15:20:00,340.5
2025-09-12,6666.T,リバーエレテック,427.4334106445313,463.0,512.0,09:15:00,449.0,14:10:00,460.0
2025-11-18,2743.T,ピクセル,64.0,66.0,79.0,09:15:00,66.0,09:05:00,71.0
2025-11-19,2586.T,フルッタフルッタ,120.0,130.0,139.0,09:10:00,124.0,12:55:00,125.0
2025-10-31,6022.T,赤阪鐵工所(株),4935.0,5270.0,5600.0,09:10:00,4775.0,14:25:00,5040.0
2025-11-05,4875.T,メディシノバ,200.0,259.0,261.0,09:30:00,215.0,14:30:00,235.0
2025-10-14,6814.T,古野電気,7210.0,7810.0,8110.0,09:10:00,7230.0,13:40:00,7310.0
2025-10-15,7603.T,ジーイエット,194.0,205.0,215.0,09:05:00,194.0,13:45:00,194.0
2025-11-28,2134.T,北浜キャピタルパートナーズ,30.0,31.0,41.0,10:15:00,31.0,09:05:00,37.0
2025-11-14,2385.T,総医研ホールディングス,196.0,245.0,245.0,09:15:00,218.0,13:30:00,222.0
2025-11-13,8894.T,ＲＥＶＯＬＵＴＩＯＮ,57.0,59.0,64.0,09:25:00,57.0,12:40:00,58.0
2025-12-02,2334.T,イオレ,431.0,471.0,480.0,09:20:00,431.0,14:20:00,436.0
2025-10-24,290A.T,Ｓｙｎｓｐｅｃｔｉｖｅ,934.0,971.0,1050.0,10:10:00,946.0,13:20:00,956.0
2025-10-20,6433.T,ヒーハイスト,713.0,750.0,773.0,09:05:00,661.0,12:40:00,705.0
2025-11-04,2134.T,北浜キャピタルパートナーズ,40.0,41.0,46.0,10:50:00,41.0,09:00:00,42.0
2025-09-12,3997.T,トレードワークス,302.5,323.5,330.0,09:45:00,300.0,15:20:00,301.5
2025-12-02,4882.T,ペルセウスプロテオミクス,304.0,328.0,328.0,09:05:00,299.0,15:15:00,300.0
2025-10-07,219A.T,Heartseed(株),1928.0,2027.0,2125.0,09:05:00,1801.0,09:35:00,1945.0
2025-10-07,5706.T,三井金属鉱業,13215.0,13900.0,14255.0,09:05:00,13030.0,15:20:00,13075.0
2025-11-28,153A.T,カウリス,1372.0,1449.0,1558.0,09:15:00,1426.0,15:10:00,1430.0
2025-09-04,3494.T,マリオン,496.8155822753906,548.0,548.0,09:10:00,500.0,13:10:00,504.0
2025-10-07,6232.T,ACSL,1021.0,1047.0,1248.0,09:35:00,1033.0,09:05:00,1149.0
2025-11-19,2334.T,イオレ,437.0,449.0,480.0,09:20:00,440.0,14:45:00,442.0
2025-11-13,265A.T,Hmcomm,1033.0,1060.0,1148.0,09:05:00,1034.0,10:55:00,1058.0
2025-11-27,7711.T,助川電気工業,7040.0,8030.0,8080.0,09:15:00,7420.0,15:20:00,7450.0
2025-11-06,4570.T,免疫生物研究所,553.0,580.0,605.0,09:05:00,541.0,12:35:00,558.0
2025-11-04,3110.T,日東紡績,8750.0,9100.0,9340.0,09:45:00,8580.0,15:10:00,8630.0
2025-10-09,5724.T,アサカ理研,1294.0,1358.0,1487.0,10:25:00,1343.0,09:30:00,1375.0
2025-11-20,7746.T,岡本硝子,324.0,346.0,359.0,09:05:00,328.0,12:40:00,332.0
2025-09-18,4494.T,バリオセキュア,778.0,924.0,928.0,09:05:00,840.0,09:20:00,859.0
2025-11-19,2134.T,北浜キャピタルパートナーズ,23.0,26.0,27.0,09:05:00,25.0,09:05:00,25.0
2025-10-17,7003.T,三井Ｅ＆Ｓ,4590.0,4870.0,5290.0,10:15:00,4870.0,09:10:00,4900.0
2025-12-03,3409.T,北紡,125.0,131.0,136.0,09:30:00,125.0,14:55:00,126.0
2025-10-20,2134.T,北浜キャピタルパートナーズ,36.0,37.0,41.0,09:30:00,37.0,09:00:00,38.0
2025-11-13,2743.T,ピクセル,73.0,79.0,82.0,10:35:00,74.0,09:15:00,76.0
2025-09-12,4777.T,ガーラ,224.0,230.0,247.0,10:00:00,226.0,13:40:00,229.0
2025-09-26,7711.T,助川電気工業,4479.28857421875,4945.0,5170.0,09:40:00,4745.0,12:35:00,4795.0
2025-11-28,319A.T,技術承継機構,10880.0,11320.0,11650.0,10:15:00,10520.0,13:20:00,10810.0
2025-10-06,6613.T,QDレーザ,387.0,414.0,430.0,09:15:00,397.0,15:10:00,399.0
2025-11-04,202A.T,豆蔵ホールディングス,2320.0,2820.0,2820.0,09:25:00,2508.0,09:35:00,2620.0
2025-09-05,8746.T,unbanked,612.0,629.0,677.0,11:00:00,611.0,14:20:00,629.0
2025-10-17,1844.T,大盛工業,773.0,810.0,820.0,09:05:00,746.0,10:50:00,762.0
2025-11-19,4875.T,メディシノバ,218.0,230.0,241.0,09:55:00,223.0,14:25:00,224.0
2025-09-08,218A.T,Ｌｉｂｅｒａｗａｒｅ,2245.0,2425.0,2587.0,09:25:00,2355.0,09:10:00,2405.0
2025-11-11,4875.T,メディシノバ,218.0,256.0,257.0,09:05:00,236.0,09:10:00,239.0
2025-09-04,8746.T,unbanked,609.0,630.0,658.0,09:40:00,601.0,14:25:00,612.0
2025-11-12,4875.T,メディシノバ,237.0,254.0,258.0,09:05:00,234.0,09:35:00,240.0
2025-09-18,7014.T,名村造船所,3002.208984375,3085.0,3245.0,10:00:00,3020.0,15:20:00,3020.0
2025-11-25,4579.T,ラクオリア創薬,650.0,725.0,738.0,09:15:00,673.0,09:45:00,687.0
2025-11-25,3110.T,日東紡績,14330.0,14900.0,15200.0,09:05:00,13970.0,12:55:00,14160.0
2025-10-21,2134.T,北浜キャピタルパートナーズ,38.0,41.0,44.0,09:30:00,40.0,09:05:00,41.0
2025-10-24,4777.T,ガーラ,233.0,238.0,251.0,09:25:00,233.0,09:10:00,234.0
2025-12-03,2334.T,イオレ,433.0,451.0,488.0,09:15:00,442.0,09:05:00,455.0
2025-11-28,3350.T,メタプラネット,390.0,414.0,432.0,09:05:00,403.0,11:15:00,403.0
2025-11-25,2743.T,ピクセル,72.0,75.0,76.0,09:00:00,70.0,12:45:00,71.0
2025-10-31,3914.T,JIG-SAW,3595.0,3725.0,4290.0,10:00:00,3690.0,09:05:00,4010.0
2025-11-04,8105.T,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,660.0,699.0,707.0,09:30:00,657.0,15:10:00,661.0
2025-10-31,9552.T,M&A総研ホールディングス,1117.0,1267.0,1353.0,10:05:00,1246.0,13:05:00,1266.0
2025-12-01,218A.T,Ｌｉｂｅｒａｗａｒｅ,1398.0,1435.0,1544.0,09:35:00,1403.0,09:05:00,1445.0
2025-11-10,7018.T,内海造船,15250.0,15880.0,17350.0,09:35:00,15610.0,09:00:00,16250.0
2025-09-22,218A.T,Ｌｉｂｅｒａｗａｒｅ,2635.0,2819.0,2868.0,09:10:00,2665.0,13:55:00,2689.0
2025-10-06,5985.T,サンコール,1056.0,1095.0,1139.0,09:10:00,1059.0,15:15:00,1068.0
2025-11-20,4570.T,免疫生物研究所,1301.0,1551.0,1601.0,09:35:00,1305.0,14:55:00,1502.0
2025-09-05,2586.T,フルッタフルッタ,253.0,263.0,275.0,11:00:00,257.0,12:50:00,258.0
2025-09-17,5071.T,ヴィス,1403.0,1508.0,1510.0,09:10:00,1417.0,15:20:00,1417.0
2025-09-18,2334.T,イオレ,635.0,672.0,690.0,09:05:00,642.0,12:40:00,648.0
2025-09-22,9561.T,グラッドキューブ,596.0,646.0,646.0,09:10:00,604.0,15:05:00,607.0
2025-11-13,202A.T,豆蔵ホールディングス,2824.0,3160.0,3325.0,09:40:00,3110.0,15:20:00,3125.0
2025-11-25,7729.T,(株)東京精密,10295.0,10895.0,10905.0,09:05:00,10220.0,14:45:00,10250.0
2025-11-19,7711.T,助川電気工業,6110.0,6420.0,6540.0,09:05:00,5910.0,09:15:00,6150.0
2025-11-04,7983.T,ミロク,1485.0,1515.0,1580.0,09:20:00,1480.0,15:10:00,1486.0
2025-10-02,8105.T,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,615.0,640.0,657.0,10:35:00,605.0,09:45:00,618.0
2025-10-02,3350.T,メタプラネット,516.0,560.0,615.0,09:15:00,559.0,09:10:00,579.0
2025-09-16,8105.T,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,633.0,669.0,690.0,10:45:00,643.0,13:35:00,650.0
2025-11-07,6927.T,ヘリオステクノHD,886.0,1010.0,1017.0,09:25:00,940.0,13:40:00,959.0
2025-11-27,8105.T,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,413.0,436.0,439.0,09:05:00,407.0,09:30:00,414.0
2025-11-20,4259.T,エクサウィザーズ,684.0,710.0,711.0,09:05:00,662.0,13:25:00,671.0
2025-10-16,6433.T,ヒーハイスト,561.0,621.0,661.0,09:40:00,600.0,15:10:00,624.0
2025-09-05,5994.T,ファインシンター,1048.7486572265625,1237.0,1294.0,09:15:00,1137.0,09:45:00,1222.0
2025-11-19,9501.T,東京電力HD,880.5999755859375,917.2000122070312,925.5999755859376,09:05:00,844.5,09:25:00,874.0999755859375
2025-11-13,4875.T,メディシノバ,240.0,250.0,254.0,09:05:00,237.0,09:05:00,240.0
2025-09-18,5994.T,ファインシンター,1393.039794921875,1479.0,1493.0,09:05:00,1378.0,09:35:00,1411.0
2025-11-07,4477.T,ＢＡＳＥ,324.0,356.0,383.0,09:50:00,351.0,09:05:00,362.0
2025-11-13,6862.T,ミナトホールディングス,1001.0,1084.0,1104.0,09:15:00,1027.0,13:20:00,1044.0
2025-09-29,5597.T,ブルーイノベーション,2206.0,2256.0,2345.0,09:05:00,2217.0,15:20:00,2218.0
2025-11-14,5029.T,サークレイス,1096.0,1141.0,1190.0,09:05:00,1111.0,15:20:00,1126.0
2025-11-04,5706.T,三井金属鉱業,15760.0,16515.0,17015.0,10:05:00,15870.0,15:15:00,16100.0
2025-11-25,9344.T,アクシスコンサルティング,891.0,910.0,979.0,10:00:00,910.0,09:00:00,927.0
2025-09-29,7746.T,岡本硝子,255.0,263.0,264.0,09:00:00,244.0,11:25:00,250.0
2025-10-21,6993.T,大黒屋ホールディングス,34.0,35.0,38.0,10:15:00,34.0,09:05:00,36.0
2025-12-01,6433.T,ヒーハイスト,342.0,366.0,422.0,09:20:00,360.0,09:05:00,400.0
2025-11-07,7826.T,フルヤ金属,2762.0,3225.0,3265.0,09:20:00,3065.0,11:10:00,3095.0
2025-11-25,5016.T,ＪＸ金属,1601.5,1652.0,1698.0,09:50:00,1609.0,15:20:00,1610.5
2025-12-01,8746.T,unbanked,297.0,305.0,311.0,09:00:00,288.0,10:15:00,295.0
2025-09-30,6525.T,コクサイエレクトリック,4206.0,4398.0,4427.0,09:05:00,4156.0,09:40:00,4200.0
2025-11-20,3110.T,日東紡績,13520.0,15080.0,16150.0,09:25:00,14760.0,09:15:00,15330.0
2025-10-10,6240.T,ヤマシンフィルタ(株),794.0,824.0,849.0,09:35:00,801.0,13:30:00,806.0
2025-10-21,7271.T,安永,760.0,862.0,910.0,09:30:00,819.0,14:40:00,864.0
2025-10-01,6240.T,ヤマシンフィルタ(株),723.0,765.0,772.0,09:05:00,730.0,12:30:00,733.0
2025-10-08,1844.T,大盛工業,700.0,730.0,733.0,09:30:00,691.0,09:10:00,696.0
2025-10-21,4814.T,ネクストウェア,209.0,214.0,218.0,09:05:00,203.0,15:15:00,207.0
2025-11-20,5803.T,フジクラ,17840.0,19840.0,19850.0,09:10:00,18205.0,12:45:00,18850.0
2025-09-04,1844.T,大盛工業,1220.0,1281.0,1450.0,10:10:00,1230.0,11:05:00,1377.0
2025-11-19,3103.T,日東紡績,269.0,294.0,298.0,09:05:00,271.0,09:15:00,283.0
2025-09-29,3350.T,メタプラネット,517.0,537.0,538.0,09:05:00,504.0,12:35:00,511.0
2025-11-20,6525.T,コクサイエレクトリック,4013.0,4367.0,4466.0,09:20:00,4200.0,13:15:00,4242.0
2025-11-25,4397.T,チームスピリット,515.0,535.0,540.0,09:55:00,505.0,13:10:00,513.0
2025-10-08,4591.T,リボミック,96.0,100.0,100.0,09:05:00,94.0,15:10:00,95.0
2025-10-29,2134.T,北浜キャピタルパートナーズ,38.0,39.0,40.0,09:10:00,38.0,09:05:00,38.0
