stage,flow_group,n,avg_score,win_next5,avg_next5,med_next5,avg_tv20,avg_up,avg_top_share
active_rotation,メモリ/ストレージ,13,6.538461538461538,61.53846153846154,5.902107750807169,2.7472527472527375,2.5859245208725974,100.0,100.0
active_rotation,前工程装置,10,8.3,40.0,2.441324238970991,-1.0632052222565662,1.9960016694471825,87.5,56.88422045113117
active_rotation,パッケージ/基板,12,8.041666666666666,75.0,1.5092774216035867,0.5840469758225275,2.133493688522917,94.44444444444444,58.06448644266624
active_rotation,電力/冷却/工場インフラ,9,7.333333333333333,66.66666666666666,1.1424827695475601,0.21699457368962616,1.901214480947611,80.0,57.28177468884798
active_rotation,MLCC/電子部品,13,8.384615384615385,61.53846153846154,1.1078392186771626,2.71959679322463,1.646225436674271,81.53846153846153,39.03517935090781
active_rotation,DC建設/設備,9,7.277777777777778,44.44444444444444,-0.3628448165093989,-0.4519015979093921,2.023966761723782,80.0,37.54418285017876
active_rotation,後工程/検査,5,7.6,40.0,-0.7068319727718716,-4.576301868576138,1.962539840999904,100.0,64.982121658995
active_rotation,光通信/電線,11,7.909090909090909,36.36363636363637,-0.86048034656666,-1.0569656626865636,1.7855012510545272,93.93939393939394,69.77365458820026
active_rotation,半導体デバイス/設計,6,7.833333333333333,66.66666666666666,-1.2002105113696402,0.5437932677264723,1.9583743586596774,88.88888888888887,64.19879576419633
active_rotation,半導体材料,7,8.357142857142858,28.57142857142857,-1.4759867630653496,-0.8925154937424629,1.741625454079223,85.71428571428571,58.24963386056363
leader_only,光通信/電線,4,2.5,50.0,5.769246092868378,5.821704486348546,1.4647629664023494,25.0,81.43102872825875
leader_only,前工程装置,3,4.5,100.0,2.6085422236014213,2.5737107471717895,1.5044220422274484,0.0,69.38502933324308
leader_only,半導体デバイス/設計,1,5.0,100.0,2.604987849093092,2.604987849093092,1.3015530803258677,33.33333333333333,67.87136176313504
leader_only,パッケージ/基板,3,4.166666666666667,66.66666666666666,2.197271860854094,0.42502774401672977,1.970102667468824,22.222222222222218,73.57909432373174
leader_only,メモリ/ストレージ,7,1.5,42.857142857142854,1.5315608575711288,-0.3571428571428559,1.6025281281129249,14.285714285714286,100.0
leader_only,半導体材料,7,4.357142857142857,57.14285714285714,0.05667063496579245,0.2600355315378944,1.9276409351415627,33.333333333333336,72.97295945128451
leader_only,後工程/検査,11,4.0,45.45454545454545,-2.014650193121368,-1.1399490225560749,1.4068887146098705,27.272727272727273,73.29622717183587
theme_flow_seed,メモリ/ストレージ,1,4.5,100.0,4.719645018152474,4.719645018152474,1.2001047796408626,100.0,100.0
theme_flow_seed,パッケージ/基板,4,7.5,50.0,4.4062103876038785,1.647431261500498,1.2490391410119996,75.0,59.26506022561995
theme_flow_seed,光通信/電線,3,7.333333333333333,66.66666666666666,2.7485004941660702,4.273589149962782,1.2211298903056431,77.77777777777777,72.35974883959328
theme_flow_seed,前工程装置,6,6.5,66.66666666666666,2.511732728863475,1.8699709063198815,1.3760303678459407,62.5,62.53395190191626
theme_flow_seed,半導体デバイス/設計,1,8.0,100.0,2.0334246299080982,2.0334246299080982,1.8578339446398129,66.66666666666666,66.63074030012093
theme_flow_seed,後工程/検査,10,5.8,50.0,1.4078471090767748,0.24897426723011762,1.3549013357874637,65.0,67.83989685194648
theme_flow_seed,半導体材料,11,6.954545454545454,72.72727272727273,1.3762407369167922,1.2532781049630404,1.3677149183349144,71.21212121212122,61.741175249581005
theme_flow_seed,MLCC/電子部品,9,7.5,33.33333333333333,-0.439587308782989,-3.1675183166856624,1.265636365786869,84.44444444444444,35.298422195246324
theme_flow_seed,電力/冷却/工場インフラ,4,7.625,25.0,-1.2591985485215642,-1.7841359015717162,1.2836808227871377,75.0,42.626946342062325
washout_rebound_watch,メモリ/ストレージ,18,-0.7777777777777778,94.44444444444444,11.228775189142219,9.429245691758503,0.7786269044982342,0.0,100.0
washout_rebound_watch,光通信/電線,24,1.4791666666666667,75.0,4.912646224614394,3.7268499349388007,1.057737027898509,2.7777777777777772,62.2226952709068
washout_rebound_watch,パッケージ/基板,33,1.9393939393939394,60.60606060606061,2.054983826274989,1.4254428770101486,1.090275242342243,9.09090909090909,48.66161159111946
washout_rebound_watch,電力/冷却/工場インフラ,18,1.6388888888888888,66.66666666666666,1.637890411512494,2.408548358076763,1.0992658930593668,8.88888888888889,50.91949376153935
washout_rebound_watch,MLCC/電子部品,34,2.676470588235294,58.82352941176471,0.7892291222362272,0.49819266856976907,1.168285343813959,3.5294117647058822,34.5604566460387
washout_rebound_watch,後工程/検査,38,1.0526315789473684,55.26315789473685,0.701362309469591,0.6213731456163524,0.975450580280414,0.0,61.28319833835034
washout_rebound_watch,半導体材料,19,2.3157894736842106,57.89473684210527,0.4534881252008761,0.8011430512348205,1.1481582875771466,8.771929824561402,57.67529942368389
washout_rebound_watch,前工程装置,35,2.0714285714285716,54.285714285714285,0.31928317447572413,0.5508001621110838,1.0576862933623405,7.857142857142857,49.7968118911364
washout_rebound_watch,DC建設/設備,10,1.25,50.0,0.002004620381015432,-0.3562878159990579,1.1610517496423645,2.0,34.29414028083699
washout_rebound_watch,半導体デバイス/設計,20,1.4,35.0,-0.2753646980697207,-0.7385325595042032,1.0086268015729114,13.333333333333332,52.82430357409942
watch_only,メモリ/ストレージ,14,1.8928571428571428,35.714285714285715,3.9163975121051298,-0.3309431880860414,0.7386379765056044,64.28571428571429,100.0
watch_only,光通信/電線,39,3.230769230769231,69.23076923076923,3.860003976176516,2.7841434252716697,0.8996213943637952,68.37606837606837,66.04871298711659
watch_only,後工程/検査,54,3.490740740740741,68.51851851851852,2.5517727253475266,3.335447982685713,0.9565685300541739,69.44444444444444,60.75894684245753
watch_only,半導体デバイス/設計,25,2.52,64.0,1.5410794941496102,0.8466635159296558,0.8247766273007765,49.33333333333333,54.548792926961205
watch_only,パッケージ/基板,70,3.5285714285714285,58.57142857142858,1.0591093929383073,0.6847355060254172,0.9551276220320539,61.42857142857143,46.994073191076346
watch_only,電力/冷却/工場インフラ,66,3.3181818181818183,59.09090909090909,0.7432580835902052,0.9030165505162578,0.9985037282147339,60.303030303030305,49.12092882494421
watch_only,MLCC/電子部品,65,3.7153846153846155,52.307692307692314,0.6442529446944649,0.45417348795082635,0.9776579038310156,55.38461538461539,35.34005146752204
watch_only,半導体材料,71,2.9788732394366195,56.33802816901409,0.5350290149625911,0.5735421653856607,0.9390168642955888,57.04225352112676,58.955082841241854
watch_only,DC建設/設備,54,2.3055555555555554,59.25925925925925,0.3736248754711027,0.5959547809318355,0.9503221487629828,54.074074074074076,33.1127803233059
watch_only,前工程装置,55,3.7363636363636363,47.27272727272727,0.09694611653134906,-0.7664250835261663,0.9154804481134672,62.27272727272727,52.43031729316758
